# [LF, 3,  200.0,  10.0,  360, 0.0,  0.0,  3.5,  300.0,  42.0,  4702964.] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
661,"[266, 0]",1,156,64,0
662,"[267, 0]",1,0,0,0
663,"[267, 1]",2,41,18,0
664,"[268, 0]",1,0,0,0
665,"[268, 1]",7,0,0,0
666,"[268, 2]",3,158,64,0
667,"[268, 3]",2,2,1,0
668,"[268, 4]",30,0,0,1
669,"[268, 5]",115,2,1,3
670,"[269, 0]",1,0,0,0
671,"[269, 1]",2,158,64,0
672,"[270, 0]",1,0,0,0
673,"[270, 1]",5,0,0,0
674,"[270, 2]",3,0,0,0
675,"[270, 3]",2,0,0,0
676,"[270, 4]",50,158,64,-1
677,"[270, 5]",44,0,0,0
678,"[270, 6]",26,0,0,0
679,"[270, 7]",117,59,28,-1
680,"[270, 8]",96,2,1,0
681,"[271, 0]",1,0,0,1
682,"[271, 1]",2,158,64,0
683,"[272, 0]",1,0,0,0
684,"[272, 1]",3,57,26,6
685,"[272, 2]",2,0,0,-1
686,"[272, 3]",46,2,1,-1
687,"[273, 0]",1,0,0,0
688,"[273, 1]",4,0,0,0
689,"[273, 2]",3,0,0,0
690,"[273, 3]",2,0,0,0
691,"[273, 4]",50,41,18,0
692,"[273, 5]",49,0,0,0
693,"[273, 6]",47,0,0,0
694,"[273, 7]",45,2,1,0
695,"[273, 8]",44,0,0,0
696,"[273, 9]",35,2,1,0
697,"[273, 10]",86,41,18,0
698,"[273, 11]",77,0,0,0
699,"[273, 12]",76,41,18,0
700,"[273, 13]",62,41,18,0
701,"[273, 14]",229,41,18,0
702,"[274, 0]",1,41,18,0
703,"[275, 0]",1,0,0,0
704,"[275, 1]",2,158,64,3
705,"[276, 0]",1,0,0,0
706,"[276, 1]",8,2,1,0
707,"[276, 2]",5,0,0,0
708,"[276, 3]",3,0,0,0
709,"[276, 4]",55,0,0,0
710,"[276, 5]",42,41,18,0
711,"[276, 6]",69,2,1,0
712,"[277, 0]",1,41,18,0
713,"[278, 0]",1,0,0,0
714,"[278, 1]",3,0,0,0
715,"[278, 2]",2,0,0,0
716,"[278, 3]",11,41,18,0
717,"[278, 4]",8,0,0,0
718,"[278, 5]",41,2,1,0
719,"[279, 0]",1,54,24,0
720,"[280, 0]",1,0,0,0
721,"[280, 1]",2,41,18,0
722,"[281, 0]",1,158,64,0
723,"[282, 0]",1,0,0,0
724,"[282, 1]",2,41,18,0
725,"[283, 0]",1,41,18,0
726,"[284, 0]",1,158,64,0
727,"[285, 0]",1,158,64,0
728,"[286, 0]",1,0,0,0
729,"[286, 1]",2,0,0,-1
730,"[286, 2]",51,57,26,5
731,"[287, 0]",1,0,0,0
732,"[287, 1]",2,158,64,0
733,"[288, 0]",1,2,1,0
734,"[289, 0]",1,156,64,0
735,"[290, 0]",1,0,0,0
736,"[290, 1]",2,2,1,0
737,"[291, 0]",1,158,64,0
738,"[292, 0]",1,57,26,0
739,"[293, 0]",1,0,0,0
740,"[293, 1]",2,2,1,0
741,"[294, 0]",1,0,0,0
742,"[294, 1]",2,0,0,0
743,"[294, 2]",16,2,1,0
744,"[295, 0]",1,41,18,0
745,"[296, 0]",1,41,18,0
746,"[297, 0]",1,158,64,0
747,"[298, 0]",1,2,1,0
748,"[299, 0]",1,0,0,0
