# LF noise: mean = 0.002058237853827891 +- 0.00025716106577061736
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Angle[deg],Theta_deg,Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
30,LF,4.0,224.0,11.0,245,1.469387755102041,0.0,47.0,300.0,42.0,41816377.99,46,6.782329983125268,0.0004057188721015356,5.9832117969253594e-05,0.014744880039725768,0.0021947136140523403,0.0021688598507333535,50000,120055
31,LF,4.0,253.0,7.0,71,5.070422535211268,43.0,77.0,300.0,42.0,14453903.29,45,6.708203932499369,0.00040339207917241876,6.0146268302737717e-05,0.014737364699118717,0.002217390559326301,0.0021591139269253466,50000,117505
32,LF,4.0,95.0,2.0,111,3.2432432432432434,22.0,117.0,300.0,42.0,7910436.98,40,6.324555320336759,0.0003429237680463633,5.4230304581077184e-05,0.012422436451165612,0.0019804217932674847,0.0019645937947717997,50000,123913
33,LF,4.0,216.0,7.0,14,25.714285714285715,34.0,135.0,300.0,42.0,6156195.65,53,7.280109889280518,0.00046527552211814485,6.392537437815728e-05,0.01690418393406491,0.002347420173402045,0.002299902118200468,50000,120655
34,LF,4.0,204.0,15.0,284,1.267605633802817,17.0,87.0,300.0,42.0,115706217.76,36,6.0,0.00033390530074664933,5.5660173744809486e-05,0.012103011673227242,0.0020322297077502377,0.0019913060675254275,50000,114465
35,LF,4.0,203.0,4.0,351,1.0256410256410255,40.0,41.0,300.0,42.0,18346112.83,46,6.782329983125268,0.0004116736323038509,6.071045823468153e-05,0.014917344949895734,0.0022203891753836058,0.0022119458134336654,50000,118667
36,LF,4.0,146.0,1.0,185,1.945945945945946,26.0,53.0,300.0,42.0,3077273.35,54,7.3484692283495345,0.0004613491900758663,6.27961531854382e-05,0.016721035475015158,0.0023008400137954103,0.0023115343328926454,50000,124278
37,LF,4.0,113.0,18.0,162,2.2222222222222223,31.0,38.0,300.0,42.0,35183263.38,41,6.4031242374328485,0.00035840100701941483,5.5982862992276565e-05,0.012976263690867806,0.0020437546720506908,0.002071643729195146,50000,121590
38,LF,4.0,178.0,9.0,330,1.0909090909090908,18.0,125.0,300.0,42.0,113352450.36,42,6.48074069840786,0.00038651966648874493,5.96528045155818e-05,0.013979971425116108,0.002175931629416871,0.002131612603870065,50000,115613
39,LF,4.0,108.0,5.0,160,2.25,7.0,13.0,300.0,42.0,3521149.97,65,8.06225774829855,0.0005452334018370171,6.764631426327672e-05,0.01975614256908182,0.002483318732767795,0.0024566994354329325,50000,126612
40,LF,4.0,135.0,7.0,211,1.7061611374407584,40.0,8.0,300.0,42.0,4431659.04,47,6.855654600401044,0.0003998944959202253,5.834226912608573e-05,0.014509595419068854,0.002137014332881618,0.002132378608675505,50000,124654
41,LF,4.0,209.0,9.0,88,4.090909090909091,15.0,1.0,300.0,42.0,2925018.89,70,8.366600265340756,0.0005987972729061343,7.159138791947942e-05,0.021697414410990136,0.002630795540200385,0.002581383528580266,50000,124152
42,LF,4.0,115.0,18.0,81,4.444444444444445,17.0,2.0,300.0,42.0,2875378.77,45,6.708203932499369,0.00038118149321496943,5.683401098040966e-05,0.013822087375843629,0.0020796532419279186,0.002066180650229883,50000,125286
43,LF,4.0,228.0,6.0,235,1.5319148936170213,9.0,85.0,300.0,42.0,38019252.57,45,6.708203932499369,0.0003975124553902689,5.926943480206847e-05,0.014469414852565947,0.002177067264138052,0.0021532009066142876,50000,119681
44,LF,4.0,104.0,14.0,39,9.23076923076923,20.0,45.0,300.0,42.0,8595819.01,25,5.0,0.00021488555195502875,4.298172772301349e-05,0.007790617499257452,0.0015661992250849937,0.0015390170274503002,50000,123490
45,LF,4.0,179.0,3.0,337,1.0682492581602374,20.0,146.0,300.0,42.0,44906172.69,35,5.916079783099616,0.0003214695752009185,5.434700919877211e-05,0.011621227939642481,0.001978603116727322,0.001932526986520285,50000,115899
46,LF,4.0,156.0,20.0,132,2.727272727272727,9.0,18.0,300.0,42.0,18148558.96,35,5.916079783099616,0.00030812029016127895,5.208985795665577e-05,0.011154450115335314,0.0018991192624634905,0.0018541451392312927,50000,120749
