# [LF, 4, 225.5, 13.5, 11, 32.72727272727273, 9.7, 120.9, 300.0, 42.0, 10231269.68] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
590,"[262, 1]",2,2,1,0
591,"[263, 0]",1,2,1,0
592,"[264, 0]",1,0,0,0
593,"[264, 1]",2,2,1,0
594,"[265, 0]",1,0,0,0
595,"[265, 1]",2,158,64,0
596,"[266, 0]",1,0,0,0
597,"[266, 1]",6,2,1,0
598,"[266, 2]",4,2,1,0
599,"[266, 3]",3,2,1,0
600,"[266, 4]",2,0,0,0
601,"[266, 5]",41,41,18,0
602,"[266, 6]",39,0,0,0
603,"[266, 7]",37,0,0,0
604,"[266, 8]",85,2,1,0
605,"[266, 9]",73,2,1,0
606,"[267, 0]",1,0,0,0
607,"[267, 1]",2,41,18,0
608,"[268, 0]",1,0,0,0
609,"[268, 1]",7,41,18,0
610,"[268, 2]",3,0,0,0
611,"[268, 3]",2,0,0,0
612,"[268, 4]",38,158,64,0
613,"[268, 5]",32,41,18,0
614,"[269, 0]",1,158,64,0
615,"[270, 0]",1,41,18,0
616,"[271, 0]",1,41,18,0
617,"[272, 0]",1,0,0,0
618,"[272, 1]",7,2,1,0
619,"[272, 2]",3,0,0,0
620,"[272, 3]",2,0,0,0
621,"[272, 4]",51,57,26,0
622,"[272, 5]",49,2,1,0
623,"[272, 6]",48,0,0,0
624,"[272, 7]",44,41,18,0
625,"[272, 8]",43,0,0,0
626,"[272, 9]",98,75,32,0
627,"[272, 10]",64,2,1,0
628,"[273, 0]",1,158,64,0
629,"[274, 0]",1,0,0,0
630,"[274, 1]",2,0,0,0
631,"[274, 2]",24,0,0,0
632,"[274, 3]",35,0,0,0
633,"[274, 4]",61,2,1,0
634,"[275, 0]",1,41,18,0
635,"[276, 0]",1,0,0,0
636,"[276, 1]",2,0,0,0
637,"[276, 2]",17,41,18,0
638,"[277, 0]",1,0,0,0
639,"[277, 1]",8,0,0,-1
640,"[277, 2]",4,2,1,4
641,"[277, 3]",3,0,0,-1
642,"[277, 4]",58,0,0,5
643,"[277, 5]",29,158,64,9
644,"[277, 6]",143,156,64,0
645,"[278, 0]",1,0,0,0
646,"[278, 1]",6,158,64,0
647,"[278, 2]",3,2,1,0
648,"[278, 3]",2,0,0,0
649,"[278, 4]",43,51,24,0
650,"[279, 0]",1,158,64,0
651,"[280, 0]",1,2,1,0
652,"[281, 0]",1,0,0,0
653,"[281, 1]",2,41,18,19
654,"[282, 0]",1,0,0,0
655,"[282, 1]",2,2,1,0
656,"[283, 0]",1,0,0,0
657,"[283, 1]",2,0,0,-1
658,"[283, 2]",36,63,28,-1
659,"[284, 0]",1,2,1,0
660,"[285, 0]",1,0,0,0
661,"[285, 1]",5,2,1,0
662,"[285, 2]",3,0,0,0
663,"[285, 3]",2,0,0,0
664,"[285, 4]",44,41,18,0
665,"[285, 5]",43,0,0,0
666,"[285, 6]",39,2,1,0
667,"[285, 7]",66,2,1,0
668,"[285, 8]",65,2,1,0
669,"[286, 0]",1,0,0,0
670,"[286, 1]",3,41,18,0
671,"[286, 2]",2,2,1,0
672,"[287, 0]",1,0,0,0
673,"[287, 1]",8,2,1,0
674,"[287, 2]",7,156,64,0
675,"[287, 3]",6,41,18,0
676,"[287, 4]",2,0,0,0
677,"[287, 5]",29,0,0,0
678,"[287, 6]",42,0,0,0
679,"[287, 7]",190,41,18,0
680,"[288, 0]",1,0,0,0
681,"[288, 1]",2,158,64,0
682,"[289, 0]",1,41,18,0
683,"[290, 0]",1,0,0,0
684,"[290, 1]",2,41,18,0
685,"[291, 0]",1,158,64,0
686,"[292, 0]",1,41,18,0
687,"[293, 0]",1,0,0,0
688,"[293, 1]",2,156,64,0
689,"[294, 0]",1,0,0,0
690,"[294, 1]",2,0,0,0
691,"[294, 2]",16,0,0,0
692,"[294, 3]",28,2,1,0
693,"[295, 0]",1,0,0,0
694,"[295, 1]",2,2,1,0
695,"[296, 0]",1,59,28,0
696,"[297, 0]",1,158,64,0
697,"[298, 0]",1,0,0,0
698,"[298, 1]",2,2,1,0
699,"[299, 0]",1,0,0,0
700,"[299, 1]",3,2,1,0
701,"[299, 2]",2,2,1,0
702,"[300, 0]",1,0,0,0
703,"[300, 1]",5,0,0,0
704,"[300, 2]",3,2,1,0
705,"[300, 3]",2,0,0,0
706,"[300, 4]",35,0,0,0
707,"[300, 5]",15,2,1,0
708,"[300, 6]",66,41,18,2
709,"[300, 7]",63,0,0,-1
710,"[300, 8]",145,57,26,-1
711,"[301, 0]",1,0,0,0
712,"[301, 1]",2,2,1,0
713,"[302, 0]",1,2,1,0
714,"[303, 0]",1,41,18,0
715,"[304, 0]",1,158,64,0
716,"[305, 0]",1,41,18,0
717,"[306, 0]",1,0,0,0
718,"[306, 1]",2,41,18,0
719,"[307, 0]",1,0,0,0
720,"[307, 1]",7,156,64,0
721,"[307, 2]",4,0,0,0
722,"[307, 3]",2,0,0,0
723,"[307, 4]",53,0,0,0
724,"[307, 5]",52,0,0,0
725,"[307, 6]",46,57,26,9
726,"[307, 7]",81,0,0,0
727,"[307, 8]",80,0,0,0
728,"[307, 9]",79,0,0,0
729,"[307, 10]",76,0,0,0
730,"[307, 11]",253,2,1,0
731,"[307, 12]",238,0,0,0
732,"[307, 13]",237,0,0,0
733,"[307, 14]",235,0,0,0
734,"[307, 15]",231,0,0,0
735,"[307, 16]",230,41,18,0
736,"[307, 17]",223,41,18,0
737,"[307, 18]",396,2,1,0
738,"[307, 19]",358,0,0,0
739,"[307, 20]",328,41,18,0
740,"[307, 21]",324,41,18,0
741,"[307, 22]",647,41,18,0
742,"[308, 0]",1,0,0,0
743,"[308, 1]",5,0,0,0
744,"[308, 2]",3,0,0,0
745,"[308, 3]",26,41,18,0
746,"[308, 4]",10,2,1,2
747,"[309, 0]",1,0,0,0
